NAME,RAJ2000,DEJ2000,LON,LAT
4FGL J1912.5+1320,288.132,13.3489,47.1926,1.4727
4FGL J1912.7+0957,288.185,9.9541,44.2075,-0.145559
4FGL J1926.4+1602,291.625,16.0381,51.1518,-0.24995
4FGL J1929.0+1729,292.256,17.4903,52.7165,-0.0883644
4FGL J1931.1+1656,292.785,16.944,52.4795,-0.793636
4FGL J1944.8+4301,296.2,43.028,76.8197,9.26634
4FGL J1948.9+3414,297.226,34.2396,69.5104,4.24393
4FGL J1953.5+3841,298.385,38.6881,73.8368,5.68631
4FGL J2027.0+2811,306.766,28.1899,68.8327,-5.88226
4FGL J2038.4+4212,309.625,42.2085,81.5271,0.542782
4FGL J2051.7+5051,312.939,50.8528,89.7214,4.12999
4FGL J2108.0+5155,317.017,51.9276,92.2052,2.91321
4FGL J2109.6+3954,317.414,39.9103,83.543,-5.43103
4FGL J2114.3+5023,318.59,50.3993,91.7634,1.14875
4FGL J2116.2+3701,319.059,37.0257,82.3045,-8.34101
4FGL J2117.9+3729,319.492,37.4842,82.8801,-8.27397
4FGL J2218.8+4736,334.724,47.6008,98.0812,-7.77545
4FGL J2220.8+6319,335.224,63.3185,106.95,5.21863
