,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF
4FGL J0424.9-5331,-11.203973,0.1167682036757469,-0.25235963,262.1925354003906,-43.014259338378906,32.57161331176758,bll,0.6570945953092726,0.34290540469072733
4FGL J0425.1-2920,-11.991669,0.1500193774700164,-0.22702241,228.83328247070312,-43.28415298461914,3.6861588954925537,unas,0.6591867590134997,0.34081324098650045
4FGL J0425.3+6319,-11.333337,0.1016421616077423,1.6971774,144.4049835205078,9.769478797912598,17.094213485717773,bcu,0.9008275259434619,0.09917247405653808
4FGL J0425.6+5522e,-10.228258,0.0529967509210109,2.370513,150.22047424316406,4.292158126831055,31.468965530395508,snr,0.5466960346939239,0.45330396530607614
4FGL J0426.5+5434,-10.584439,0.4543709754943847,-0.4091339,150.87962341308594,3.82037353515625,30.46117401123047,unas,1.0656317204936576e-08,0.9999999893436828
4FGL J0426.5+0517,-10.969715,0.1766946762800216,-0.8726921,189.3720703125,-28.79415512084961,19.664934158325195,fsrq,0.8676261893996783,0.13237381060032163
4FGL J0426.5+2007,-11.597688,0.39507657289505,-0.3953774,176.4907989501953,-19.681522369384766,4.012693881988525,bcu,0.34668704167764336,0.6533129583223567
4FGL J0426.7+6826,-11.174929,0.0277093332260847,-1.5266371,140.67449951171875,13.363746643066406,19.734399795532227,bcu,0.9649870992162881,0.035012900783711984
4FGL J0427.4+6433c,-11.559125,0.3416001200675964,-0.6292076,143.65476989746094,10.784215927124023,3.540584087371826,unas,0.8120576569204202,0.18794234307957985
4FGL J0427.9+3632c,-11.246575,0.3142900764942169,-0.6148188,164.09974670410156,-8.490970611572266,5.957452297210693,unas,0.30922452712934145,0.6907754728706587
4FGL J0428.7-5003,-11.953827,0.1361668407917022,-0.23621607,257.3915100097656,-43.058631896972656,5.113198280334473,bcu,0.7236430793600952,0.27635692063990475
4FGL J0429.3-3238,-11.741938,0.0922148898243904,1.0858412,233.47349548339844,-42.95782470703125,9.39234447479248,bll,0.9724430986554838,0.027556901344516025
4FGL J0429.8+2843,-11.113458,0.1450652033090591,0.5034809,170.24598693847656,-13.476303100585938,20.378765106201172,bcu,0.7288605757182454,0.27113942428175464
4FGL J0429.9-3101,-11.373231,0.0790236368775367,0.96802664,231.32568359375,-42.576515197753906,19.914165496826172,bll,0.9590987889423905,0.04090121105760946
4FGL J0430.3-2507,-11.43571,0.0289154704660177,-0.90354776,223.61865234375,-41.22872543334961,15.082256317138672,bll,0.9199960892204044,0.08000391077959555
4FGL J0430.3+1654,-11.147554,0.0470325648784637,-1.2406168,179.75234985351562,-21.04212188720703,13.154276847839355,bcu,0.9637633284063061,0.03623667159369383
4FGL J0431.0+3529c,-11.485528,0.5058379769325256,-0.320889,165.3061065673828,-8.733172416687012,4.258989334106445,unas,0.028138190126337805,0.9718618098736622
4FGL J0431.1+4433,-11.93154,0.3473799526691437,1.6042142,158.6431121826172,-2.5445311069488525,6.161276340484619,unas,0.9951924703154333,0.0048075296845667016
4FGL J0431.8+7403,-11.382864,0.0935381278395652,1.0055475,136.5852813720703,17.369314193725586,21.231548309326172,bll,0.9468517712221137,0.05314822877788621
4FGL J0432.0+1732,-11.531808,0.2101710587739944,-0.17495203,179.49156188964844,-20.33567237854004,7.164164066314697,bcu,0.4933966493577171,0.5066033506422829
4FGL J0433.0+0522,-10.755659,0.1814544796943664,-1.2223703,190.33688354492188,-27.416532516479492,27.037019729614258,rdg,0.7975102911463084,0.2024897088536915
4FGL J0433.0+1327,-11.82239,0.5304916501045227,0.31445098,183.10899353027344,-22.662689208984375,5.679233551025391,unas,0.021522726944278515,0.9784772730557214
4FGL J0433.1+3227,-11.347588,0.0421178974211216,1.2206125,167.8820037841797,-10.448067665100098,13.757616996765137,bll,0.9722405076248359,0.027759492375164087
4FGL J0433.5-1039,-11.826796,0.0571407303214073,-0.64894533,206.66929626464844,-35.398193359375,5.315890789031982,bcu,0.8724051882568892,0.1275948117431109
4FGL J0433.6-6030,-10.942071,0.1276851594448089,-0.7353735,270.85809326171875,-40.15006637573242,44.648311614990234,fsrq,0.8990957735880399,0.10090422641196006
4FGL J0433.6+2905,-10.592639,0.0616812445223331,0.095053434,170.52230834960938,-12.60086441040039,47.29402160644531,bll,0.7970504663401957,0.2029495336598043
4FGL J0433.7-5725,-11.478894,0.2066508531570434,0.5797844,266.9312438964844,-40.92623519897461,23.485580444335938,bll,0.8304835092488803,0.16951649075111974
4FGL J0434.1-2014,-11.521229,0.1270869523286819,-0.14282632,217.85133361816406,-38.95388412475586,14.204052925109863,bll,0.8023970927709708,0.19760290722902912
4FGL J0434.3-2517,-11.830929,0.2090142220258712,-0.40830088,224.13565063476562,-40.38173294067383,6.1853108406066895,bcu,0.610808003165195,0.3891919968348049
4FGL J0434.4-2342,-11.574191,0.0548284649848938,-1.73972,222.15493774414062,-39.945552825927734,9.099174499511719,bll,0.9726965066037331,0.02730349339626688
4FGL J0434.7+0922,-11.139625,0.0685277059674263,0.7905686,186.95619201660156,-24.764427185058594,19.74735450744629,bll,0.9465493482723359,0.05345065172766402
4FGL J0435.4-2623,-11.870938,0.0173666346818208,-1.7573272,225.62081909179688,-40.42884063720703,5.862945556640625,bll,0.9814950377910122,0.018504962208987747
4FGL J0435.5+3232,-11.627008,0.3668272495269775,0.49379468,168.14889526367188,-10.02053451538086,9.485579490661621,unas,0.4856294124711419,0.5143705875288581
4FGL J0436.2-0038,-11.984522,0.4095607995986938,0.2222619,196.58743286132812,-30.021907806396484,6.10250186920166,bcu,0.26061868342329564,0.7393813165767044
4FGL J0436.7-7148,-11.589755,0.0861244946718216,-0.3481207,284.2022705078125,-35.9670295715332,9.793412208557129,bcu,0.8654272512536793,0.13457274874632072
4FGL J0436.9+2915,-11.339419,0.3092079758644104,0.21651578,170.88929748535156,-11.94581127166748,14.072155952453613,unas,0.045977007095262055,0.9540229929047379
4FGL J0437.2-4715,-10.748378,0.4793727397918701,-0.20897365,253.3972625732422,-41.96504592895508,76.90890502929688,msp,4.6963151170913025e-08,0.9999999530368489
4FGL J0437.2-5846,-11.831208,0.0820907801389694,-1.9524608,268.5103759765625,-40.15503692626953,5.037352561950684,bcu,0.9427282459018601,0.057271754098139956
4FGL J0437.4-6155,-11.634933,0.0677999854087829,-0.13954115,272.46331787109375,-39.310203552246094,11.815136909484863,bll,0.8972615456497425,0.10273845435025754
4FGL J0438.0-7329,-11.54634,0.0716065987944603,1.5497041,286.0389404296875,-35.18390655517578,14.149977684020996,unas,0.9721476102561388,0.02785238974386125
4FGL J0438.4-1254,-11.586992,0.0621259622275829,-1.5796813,209.7774658203125,-35.273685455322266,7.202444076538086,fsrq,0.9741519235606103,0.025848076439389734
4FGL J0438.7-3441,-12.097959,0.1025443226099014,1.1572714,236.57366943359375,-41.29975128173828,5.106869697570801,bcu,0.9652415231443595,0.034758476855640486
4FGL J0438.9-4521,-11.094773,0.0916115269064903,-0.7798991,250.8337860107422,-41.76596450805664,32.876136779785156,bll,0.9334644129181191,0.06653558708188091
4FGL J0439.2+2151,-11.485927,0.2176208943128585,-0.5139239,177.08958435058594,-16.294132232666016,6.315509796142578,bcu,0.6488088685503209,0.3511911314496791
4FGL J0439.4-3202,-11.568969,0.0137803861871361,0.8426688,233.13772583007812,-40.74931716918945,12.76159954071045,bcu,0.9641289851934884,0.035871014806511524
4FGL J0439.4-7424,-11.808648,0.1551121920347213,-0.19665885,287.0072021484375,-34.715858459472656,5.157841205596924,unas,0.7520531230834084,0.24794687691659156
4FGL J0439.6-8322,-11.678716,0.0572943314909935,-1.025397,296.46728515625,-30.58513069152832,6.229093074798584,unas,0.9489454599645294,0.051054540035470525
4FGL J0439.8-1859,-11.400243,0.1026087775826454,0.73902416,216.93406677246094,-37.268463134765625,19.509777069091797,bll,0.9424114954662414,0.05758850453375867
4FGL J0439.9-0535,-11.895401,0.0820004120469093,0.3104713,202.114501953125,-31.679431915283203,4.7740983963012695,unas,0.9544315970668351,0.045568402933164984
4FGL J0440.2-2458,-11.633884,0.1110390424728393,1.6444244,224.19790649414062,-39.00849914550781,12.918109893798828,bll,0.9511417328592626,0.04885826714073732
