,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF
4FGL J1227.8-7004,-11.664069,0.5290781259536743,-0.3188448,300.9112854003906,-7.299360275268555,4.58272647857666,unas,0.06474032795035693,0.0002254386960476264,0.3194661285103602,0.6155681048432352
4FGL J1228.0-6918,-11.691772,0.1461783647537231,-0.24757028,300.85302734375,-6.535042762756348,4.524971008300781,unas,0.5944343350279576,0.12622201049915122,0.08532393895605103,0.1940197155168402
4FGL J1228.0-4853,-10.608861,0.1595258265733719,-0.40283442,298.97479248046875,13.807193756103516,52.74934387207031,msp,0.15892162620680161,0.0006679734856590404,0.17316811990760783,0.6672422803999315
4FGL J1228.0+5039,-11.736886,0.2214216291904449,-0.59399295,132.06729125976562,66.05277252197266,4.987504959106445,unas,0.7575653324940751,0.05247584639280238,0.06436481390900747,0.12559400720411512
4FGL J1228.3+7521,-11.884373,0.0311627145856618,-0.9136622,124.88507080078125,41.68780517578125,7.893310546875,bcu,0.15204662218676657,0.7857084733726553,0.04984623219561042,0.012398672244967946
4FGL J1228.7+4858,-11.354374,0.1418497711420059,-0.80778813,132.7921905517578,67.70826721191406,17.61634635925293,fsrq,0.8792672705832842,0.0010192329308961613,0.1042696676207794,0.01544382886504021
4FGL J1228.7-0318,-11.393069,0.0693727657198906,0.40689564,291.87469482421875,59.0694465637207,12.866138458251953,bcu,0.14135867141460004,0.2829039706086592,0.5330661450629772,0.04267121291376356
4FGL J1229.0+0202,-10.010715,0.1003069952130317,-1.790015,289.9305419921875,64.35104370117188,135.40008544921875,fsrq,0.01382113023980856,0.039258310769448766,0.9469098010081799,1.0757982562730552e-05
4FGL J1229.5-3048,-11.979024,0.4125611484050751,0.086643696,297.3947448730469,31.826675415039062,4.82277774810791,unas,0.15111093438885514,0.032955255797935394,0.002049800435479522,0.81388400937773
4FGL J1229.7-3259,-11.859695,0.105732224881649,-0.20214033,297.7044372558594,29.663057327270508,4.130598068237305,unas,0.44218817129113136,0.35973895849019744,0.0657656100325487,0.13230726018612257
4FGL J1230.2+2517,-10.349457,0.046244703233242,-0.20036936,232.79705810546875,84.90608215332031,110.65715789794922,bll,0.01867612119606722,0.04944332875697104,0.46361426265562283,0.4682662873913389
4FGL J1230.8+1223,-10.784017,0.0351887345314025,0.02383852,283.8031005859375,74.49031829833984,46.98321533203125,rdg,0.007829255045432738,0.12457126668418028,0.1666092570160616,0.7009902212543255
4FGL J1231.3+3353,-12.150773,0.1076740100979805,1.2620358,154.25547790527344,81.9693832397461,5.041555404663086,unas,0.06365910186681323,0.9100153022736134,0.026324687508724298,9.083508491312218e-07
