,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF,Gauss_PDF
4FGL J1912.7+0957,-10.6636505,0.3264116048812866,-0.19030976,44.20752716064453,-0.14555875957012177,10.148260116577148,unas,2.3249123681328082e-05,1.071206787659437e-07,0.0430480910294729,0.19895674283078138,0.7579718098953856
4FGL J1912.7-1250,-11.386157,0.1087065860629081,0.28789783,23.779085159301758,-10.488550186157227,7.97872257232666,bcu,0.19186325050381636,0.32672920177421777,0.2853221811473582,0.14819568873754696,0.047889677837060704
4FGL J1913.0-8009,-10.808703,0.1495295912027359,-0.52645636,314.0054931640625,-27.620773315429688,38.86058044433594,fsrq,0.1710316670894534,0.0026561818222752783,0.015407550248337273,0.09306480301887807,0.717839797821056
4FGL J1913.2+0512,-10.971718,0.2194078415632248,-0.8002875,40.05402755737305,-2.4520466327667236,6.372838020324707,bcu,0.2396784891899287,0.0001991853322650564,0.004815302180508102,0.03497128311005807,0.7203357401872401
4FGL J1913.2+2342,-11.653879,0.3885953724384308,-0.082643986,56.50465393066406,6.080129623413086,4.762927055358887,unas,0.05492276723879562,0.014593876954409245,0.011621703115311539,0.545839389540243,0.3730222631512406
4FGL J1913.3+0905,-10.708359,0.4815453588962555,0.17660141,43.516929626464844,-0.685728132724762,18.200830459594727,psr,1.040791512876875e-06,6.742610958729253e-11,0.1308390577784772,0.7664170613463324,0.10274284001625156
4FGL J1913.3+1019,-10.740075,0.0640916973352432,0.24602199,44.61468505859375,-0.115264393389225,11.331666946411133,psr,0.004505549132628991,0.6895494369085029,0.09784436695593143,0.1274145797477736,0.08068606725516309
4FGL J1913.4-3629,-11.288302,0.1759977787733078,-0.0065984726,1.23744797706604,-19.85416603088379,11.519482612609863,bcu,0.14901932795246983,0.007345474497798972,0.06100116002495819,0.28390638769137244,0.4987276498334007
4FGL J1913.4-1526,-11.538492,0.5404025912284851,0.2205131,21.442232131958008,-11.745805740356445,11.808852195739746,unas,0.0018734508975401978,1.1014886109418708e-05,0.039045905865539535,0.9465298434017934,0.012539784949017514
4FGL J1913.4-2652,-11.577731,0.5207674503326416,-0.5229931,10.674166679382324,-16.3904972076416,4.648784637451172,unas,0.027485830420653362,0.0001324123711162759,0.07864955642412794,0.12206485487717882,0.7716673459069237
4FGL J1913.9+4439,-11.285521,0.0292896069586277,0.63106513,75.81712341308594,14.974932670593262,20.920856475830078,bll,0.04565803553795747,0.5288356966210168,0.42015444451074885,0.005040865150786649,0.0003109581794902111
4FGL J1914.1+2621,-11.3809805,0.1296295076608657,-1.1962796,58.97314453125,7.087596893310547,5.381250858306885,unas,0.9571622515381706,0.004421278010488004,0.037183334498534545,0.0002817179532130402,0.0009514179995935669
4FGL J1914.5+1107c,-10.797576,0.3156023323535919,-0.19296598,45.44852066040039,0.0044516692869365215,8.174032211303711,unk,0.00010704632838414743,1.0684038461626909e-06,0.019313615800801067,0.1589249396623814,0.8216533298045872
4FGL J1914.6-1157,-11.268778,0.2571546137332916,-0.5963452,24.794099807739258,-10.515691757202148,7.253516674041748,unas,0.10270333746769605,0.0003665757576421308,0.022048446804693273,0.05021978673987268,0.8246618532300958
4FGL J1914.7+1012c,-10.817027,0.1749012321233749,-0.46709895,44.66463088989258,-0.4562649428844452,6.748969554901123,unas,0.056843996462185346,0.00032384042252693867,0.012563737862386548,0.09518860045063707,0.8350798248022642
4FGL J1915.3+1149,-10.606527,0.3146536350250244,-0.30641317,46.15477752685547,0.15400661528110504,12.388215065002441,bcu,2.4493252227640294e-05,7.513068573880888e-08,0.04279966461361536,0.1491588953396897,0.8080168716637816
4FGL J1915.7-0846,-11.6807785,0.3662343919277191,-0.06544042,27.810504913330078,-9.376659393310547,4.366297721862793,unas,0.07226484531035873,0.030291778985958043,0.007111291661700831,0.53701005245126,0.35332203159072234
4FGL J1916.3+1108,-10.56479,0.2009759396314621,-0.4763646,45.66799545288086,-0.3732321262359619,11.265151023864746,spp,0.013255938810941961,2.484919813291916e-05,0.04456497384560476,0.14989005388394064,0.7922641842613797
4FGL J1916.7-1516,-11.291148,0.2370720654726028,-0.6905663,21.946529388427734,-12.392499923706055,8.795345306396484,bcu,0.19072566501004237,0.0006559121954671507,0.03157358807724445,0.04374553250785522,0.7332993022093908
4FGL J1916.8-3025,-11.148915,0.2515788972377777,0.3830366,7.521899700164795,-18.42003059387207,24.246623992919922,unas,0.05358382692581333,0.005475541448446851,0.004535365608006575,0.7901430988690886,0.14626216714864465
4FGL J1917.5-2746,-11.642152,0.3772072792053222,-0.42114496,10.161520004272461,-17.57538414001465,4.7978010177612305,unas,0.06749273487334659,0.009214717657677094,0.013404254849957657,0.14126242307751338,0.7686258695415052
4FGL J1917.6-3204,-11.481503,0.1816193163394928,-0.3722911,5.960616588592529,-19.164796829223633,8.637850761413574,unas,0.20311224741803888,0.027235907937544584,0.029304172925211872,0.13319078276063864,0.607156888958566
4FGL J1917.7-6442,-11.962217,0.3495187759399414,0.16654515,331.4189147949219,-27.11556625366211,6.3699750900268555,bcu,0.12071250869947571,0.19386855079560456,0.00032293903848880194,0.6406335016011798,0.04446249986525108
4FGL J1917.7-1921,-10.421166,0.0179421212524175,1.2715282,18.23706817626953,-14.322572708129883,69.0165023803711,bll,4.037589407616635e-09,0.5377882725021164,0.4622115668190231,1.565766267503978e-07,6.464458815934074e-11
4FGL J1917.7-6930,-11.338047,0.0361682586371898,-1.62338,326.0330810546875,-27.5708065032959,14.374524116516113,bcu,0.9188065389561331,0.030452631435611725,0.05073574520119398,4.679811690159563e-06,4.0459537097830717e-07
