,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_RF_std,1_NN,1_NN_std,2_RF,2_RF_std,2_NN,2_NN_std,3_RF,3_RF_std,3_NN,3_NN_std,4_RF,4_RF_std,4_NN,4_NN_std,sample_weight
4FGL J1415.4-6458,-0.061845496,0.664793,-0.7470276,-11.483237,-12.209189,1.0067402,1.3127552,0.35804283618927,3.9333033561706543,1.2197891,unas,0.0589512658365799,0.03708692617824229,0.06272555045628299,0.015454439399875316,0.2667464116325909,0.08152018594414544,0.4201748237634699,0.08855494377265201,0.030918162393162404,0.02189317494987546,0.05699734098743647,0.029965089877923897,0.6433841601376667,0.09627495062748209,0.46010229488213855,0.08925951398815105,1.0
4FGL J1415.5+4830,0.89184046,-0.02117015,0.9997759,-11.18995,-12.322737,1.5068241,1.7958674,0.0643016174435615,2.6906216144561768,2.2543998,bll,0.06980188056604367,0.029747740856037545,0.024146879150066525,0.006956784945497709,0.9276981194339563,0.0272611823699284,0.9738144725561142,0.007111628413954151,0.00125,0.005,0.0017574725570739247,0.0011709890086535712,0.00125,0.005,0.00028117751026002225,0.00016641480341753908,0.008825164323096482
4FGL J1415.9-1002,0.737931,0.90365726,-0.4282564,-11.677517,-12.220714,0.74313986,2.907582,0.3969279825687408,2.376767635345459,1.1841424,fsrq,0.7515299823633158,0.1143613901773167,0.6689034601052603,0.0801188245512348,0.11958112874779542,0.07852906933109059,0.05310926617433628,0.023720632222489997,0.04000000000000001,0.032899132833198945,0.12752961346672642,0.05172203369281747,0.0888888888888889,0.057074655845386194,0.15045766242676312,0.04359716160376515,10.0
4FGL J1415.9-1504,0.6830384,0.87792325,-0.47880134,-11.637611,-12.389745,0.82942855,2.1951048,0.0666222125291824,0.8135501146316528,1.1356021,unas,0.32260728362438845,0.09460229942821385,0.24993606936186552,0.029104397725342217,0.6528248162886777,0.09156168096424402,0.6970101346572241,0.03377371068991548,0.00556048926208964,0.008962592419033653,0.023995890388808522,0.008784438421082867,0.019007410824844456,0.018722925181057233,0.029057910782285035,0.008259053607767092,1.0
4FGL J1416.0+1320,0.9128773,0.9992488,0.03875347,-10.643406,-12.060343,1.8006022,1.9977875,0.0474975556135177,3.5709879398345947,3.3301487,bcu,0.27916026791318915,0.08541204140926983,0.47283234881858033,0.08525578701672348,0.7204230654201442,0.08496944664550729,0.5230382469793161,0.08453282402575704,0.0004166666666666667,0.002886751345948129,0.003916647906104724,0.0047091938392815735,0.0,0.0,0.0002127587933197598,0.00015724150590007543,1.0
4FGL J1416.0+3443,0.941936,0.48664436,0.8736002,-11.614792,-12.332841,0.9633871,2.7813463,0.2646556794643402,2.879676342010498,2.2629273,bcu,0.9324867357600092,0.04611350492583987,0.9797711906333765,0.007924900800086978,0.05205336708787695,0.03698076391940481,0.013505729720539724,0.004953346689701704,0.009166666666666668,0.014851510895748106,0.003849943234551271,0.0032951358350447966,0.006293230485447466,0.011760390710327437,0.0028731362447918705,0.0014388559477421744,1.0
4FGL J1416.1-2417,0.56875664,0.83413035,-0.55156744,-11.583126,-12.4101515,1.0163723,1.6884665,0.0500439442694187,0.6926385760307312,1.4907049,bll,0.016603488270205052,0.016774072352817193,0.01776015490759164,0.0036279180663371874,0.983062781236759,0.016783815276729043,0.9778209365904331,0.004109347107083623,9.111790121319954e-05,0.00013708812043076866,0.003504509681079071,0.0014555342578251808,0.00024261259182272065,0.0003632069162019331,0.0009143878924078308,0.00025991398931884935,0.08355804262203327
4FGL J1416.4-6123c,-0.0031026294,0.68115646,-0.7321379,-11.217029,-11.619733,0.5810592,1.9626898,0.0495065487921237,0.5272002220153809,0.89058197,unas,0.025833333333333344,0.025418483250975867,0.17826240975409746,0.03607579544846492,0.09375000000000004,0.04987750953532865,0.5705872774124146,0.07958949975232897,0.7345833333333333,0.07682415215679099,0.15801340760663152,0.07466351991745077,0.1458333333333333,0.04775083081970035,0.09313689164506893,0.03232364567472249,1.0
4FGL J1416.5-6145,-0.009241842,0.6796399,-0.73354596,-11.267989,-11.772923,0.71276206,1.4063399,0.3726947903633117,3.228383302688598,0.87252825,spp,0.045451388888888916,0.032499753742171796,0.026263456073744845,0.009554476073502263,0.06579861111111114,0.041133452853564574,0.05140248492049674,0.02022826840314586,0.4675000000000002,0.10094236822131494,0.106132995026807,0.06022504931869747,0.4212500000000003,0.09438772458954199,0.816201064735651,0.05723865783555588,1.0
4FGL J1416.7-5023,0.17730999,0.72602606,-0.6876672,-11.288912,-12.163428,1.1679299,2.0048351,0.2803811430931091,4.53032922744751,0.9277517,unas,0.02072115384615385,0.023015415166008926,0.023025384221303586,0.0073653412668156105,0.06528263403263405,0.03668533588910201,0.03520231922933211,0.01393424252365257,0.0635416666666667,0.036407246375584006,0.1299660399866601,0.04567632326209334,0.8504545454545456,0.06116595024772069,0.8118062615394592,0.04749293807402162,1.0
4FGL J1417.3+6059,0.80038756,-0.27059928,0.9626921,-12.100392,-12.712691,0.6471891,1.7750036,0.160603865981102,0.7494884729385376,1.1785587,unas,0.08012181323578245,0.04744443837929151,0.1352852527052164,0.02407406564150306,0.9146735333427141,0.04927418780241144,0.8352675698697567,0.028329210323317245,0.0011121668964697992,0.004081531604150131,0.006842100515010922,0.0031558033595119194,0.0040924865250337355,0.007362217337706141,0.02260507152338202,0.007633535875836459,1.0
4FGL J1417.6-4403,0.2778583,0.75340825,-0.6575531,-11.124043,-12.1901245,1.4249197,1.9455875,0.2716763615608215,6.27362871170044,0.8787628,msp,0.021474601536521042,0.026376837842702734,0.006299520692075877,0.0023114518259144587,0.07127049650269465,0.05170442124156934,0.01410866268526982,0.005689948432300493,0.08941176470588236,0.06561922243474982,0.18929267104934244,0.04902300979752553,0.8178431372549019,0.08187847682584437,0.7902991386020884,0.05191070550296333,0.0769012005614154
